date,COMEX Inventory: Gold (oz)
2023-02-06T16:00:00.000Z,22118271.193
2023-02-07T16:00:00.000Z,22199195.26
2023-02-08T16:00:00.000Z,22198648.693
2023-02-09T16:00:00.000Z,22198648.693
2023-02-12T16:00:00.000Z,22102163.55
2023-02-13T16:00:00.000Z,22016034.75
2023-02-14T16:00:00.000Z,21998643.92
2023-02-15T16:00:00.000Z,21824353.59
2023-02-16T16:00:00.000Z,21743976.087
2023-02-20T16:00:00.000Z,21731875.737
2023-02-21T16:00:00.000Z,21731875.737
2023-02-22T16:00:00.000Z,21702817.12
2023-02-23T16:00:00.000Z,21661647.597
2023-02-26T16:00:00.000Z,21653698.127
2023-02-27T16:00:00.000Z,21651865.517
2023-02-28T16:00:00.000Z,21651865.517
2023-03-01T16:00:00.000Z,21602835.242
2023-03-02T16:00:00.000Z,21630977
2023-03-05T16:00:00.000Z,21630977
2023-03-06T16:00:00.000Z,21534524
2023-03-07T16:00:00.000Z,21534556
2023-03-08T16:00:00.000Z,21534556
2023-03-09T16:00:00.000Z,21498645.413
2023-03-12T16:00:00.000Z,21498645.413
2023-03-13T16:00:00.000Z,21498388.213
2023-03-14T16:00:00.000Z,21422029.588
2023-03-15T16:00:00.000Z,21389814.278
2023-03-16T16:00:00.000Z,21366397.077
2023-03-19T16:00:00.000Z,21364092.907
2023-03-20T16:00:00.000Z,21357630.556
2023-03-21T16:00:00.000Z,21357598.405
2023-03-22T16:00:00.000Z,21357534.105
2023-03-23T16:00:00.000Z,21292910.595
2023-03-26T16:00:00.000Z,21292910.595
2023-03-27T16:00:00.000Z,21292910.595
2023-03-28T16:00:00.000Z,21293692.965
2023-03-29T16:00:00.000Z,21291699.603
2023-03-30T16:00:00.000Z,21291699.603
2023-04-02T16:00:00.000Z,21575710.866
2023-04-04T16:00:00.000Z,21769099.131
2023-04-05T16:00:00.000Z,20769099.131
2023-04-09T16:00:00.000Z,21768616.866
2023-04-10T16:00:00.000Z,21800639.266
2023-04-11T16:00:00.000Z,21949369.792
2023-04-12T16:00:00.000Z,21948726.772
2023-04-13T16:00:00.000Z,21948726.772
2023-04-16T16:00:00.000Z,21946829.863
2023-04-17T16:00:00.000Z,21943454.003
2023-04-18T16:00:00.000Z,21943132.493
2023-04-19T16:00:00.000Z,22133246.333
2023-04-20T16:00:00.000Z,22180861.964
2023-04-23T16:00:00.000Z,22180669.058
2023-04-24T16:00:00.000Z,22180315.398
2023-04-25T16:00:00.000Z,22180444.002
2023-04-26T16:00:00.000Z,22340997.251
2023-04-27T16:00:00.000Z,22362217
2023-04-30T16:00:00.000Z,22359418
2023-05-01T16:00:00.000Z,22359418
2023-05-02T16:00:00.000Z,22519465.739
2023-05-03T16:00:00.000Z,22518887.019
2023-05-04T16:00:00.000Z,22509204
2023-05-07T16:00:00.000Z,22508400
2023-05-08T16:00:00.000Z,22540551
2023-05-09T16:00:00.000Z,22595176
2023-05-10T16:00:00.000Z,22583087
