date,COMEX Inventory: Silver (oz)
2023-02-05T16:00:00.000Z,291851053.346
2023-02-06T16:00:00.000Z,291851053.346
2023-02-07T16:00:00.000Z,291967975.7
2023-02-08T16:00:00.000Z,291573835.227
2023-02-09T16:00:00.000Z,291212194.637
2023-02-12T16:00:00.000Z,291144806.7
2023-02-13T16:00:00.000Z,290143027.7
2023-02-14T16:00:00.000Z,288465045.9
2023-02-15T16:00:00.000Z,288171630.4
2023-02-16T16:00:00.000Z,288864698.86
2023-02-20T16:00:00.000Z,288611428.412
2023-02-21T16:00:00.000Z,288458106.953
2023-02-22T16:00:00.000Z,287959774.373
2023-02-23T16:00:00.000Z,288392042.255
2023-02-26T16:00:00.000Z,288994393.716
2023-02-27T16:00:00.000Z,287247067.618
2023-02-28T16:00:00.000Z,287233291.618
2023-03-01T16:00:00.000Z,287547183.848
2023-03-02T16:00:00.000Z,286950138
2023-03-05T16:00:00.000Z,286902836
2023-03-06T16:00:00.000Z,285730779
2023-03-07T16:00:00.000Z,285712165
2023-03-08T16:00:00.000Z,285696384
2023-03-09T16:00:00.000Z,285282921.299
2023-03-12T16:00:00.000Z,285235686.255
2023-03-13T16:00:00.000Z,285189685.255
2023-03-14T16:00:00.000Z,285005848.745
2023-03-15T16:00:00.000Z,284105628.695
2023-03-16T16:00:00.000Z,283704708.124
2023-03-19T16:00:00.000Z,283529857.264
2023-03-20T16:00:00.000Z,282423851.819
2023-03-21T16:00:00.000Z,283024750.699
2023-03-22T16:00:00.000Z,282387159.064
2023-03-23T16:00:00.000Z,282052466.531
2023-03-26T16:00:00.000Z,281551285.471
2023-03-27T16:00:00.000Z,280489545.753
2023-03-28T16:00:00.000Z,279942414.127
2023-03-29T16:00:00.000Z,279086270.226
2023-03-30T16:00:00.000Z,278264212.776
2023-04-02T16:00:00.000Z,277624448.772
2023-04-04T16:00:00.000Z,276742307.546
2023-04-05T16:00:00.000Z,275170051.778
2023-04-09T16:00:00.000Z,274534492.675
2023-04-10T16:00:00.000Z,274037850.545
2023-04-11T16:00:00.000Z,275563404.771
2023-04-12T16:00:00.000Z,274401674.902
2023-04-13T16:00:00.000Z,274401674.902
2023-04-16T16:00:00.000Z,273854301.46
2023-04-17T16:00:00.000Z,273179651.46
2023-04-18T16:00:00.000Z,273704666.655
2023-04-19T16:00:00.000Z,273640039.736
2023-04-20T16:00:00.000Z,273767003.383
2023-04-23T16:00:00.000Z,271604990.312
2023-04-24T16:00:00.000Z,272434506.736
2023-04-25T16:00:00.000Z,271816458.651
2023-04-26T16:00:00.000Z,271314082.922
2023-04-27T16:00:00.000Z,270974351
2023-05-02T16:00:00.000Z,269687252.88
2023-05-03T16:00:00.000Z,269022346.432
2023-05-04T16:00:00.000Z,269484488
2023-05-07T16:00:00.000Z,270537956
2023-05-08T16:00:00.000Z,271242959
2023-05-09T16:00:00.000Z,271022912
2023-05-10T16:00:00.000Z,270403833
2023-05-11T16:00:00.000Z,270359264.548
2023-05-14T16:00:00.000Z,271107129.098
2023-05-15T16:00:00.000Z,271480716.897
2023-05-16T16:00:00.000Z,271911678.217
2023-05-17T16:00:00.000Z,274121004.636
2023-05-18T16:00:00.000Z,274195396.537
2023-05-21T16:00:00.000Z,274397440.715
2023-05-22T16:00:00.000Z,272502091.938
2023-05-23T16:00:00.000Z,272161113.718
2023-05-24T16:00:00.000Z,271605908.596
2023-05-25T16:00:00.000Z,272143749.796
2023-05-29T16:00:00.000Z,273670805.063
2023-05-30T16:00:00.000Z,274068221.733
2023-05-31T16:00:00.000Z,272737376.5
2023-06-01T16:00:00.000Z,273370214.841
2023-06-04T16:00:00.000Z,272773647.117
2023-06-05T16:00:00.000Z,272820698.519
2023-06-06T16:00:00.000Z,272501253.595
2023-06-07T16:00:00.000Z,271772471.035
2023-06-08T16:00:00.000Z,273073153.545
2023-06-11T16:00:00.000Z,273527778.285
2023-06-12T16:00:00.000Z,273353393.06
2023-06-13T16:00:00.000Z,272375665.697
2023-06-14T16:00:00.000Z,271773364.447
2023-06-15T16:00:00.000Z,272135162.688
2023-06-19T16:00:00.000Z,271379302.764
2023-06-20T16:00:00.000Z,270674142.903
2023-06-21T16:00:00.000Z,267526263.298
2023-06-22T16:00:00.000Z,267923018.962
2023-06-25T16:00:00.000Z,267502213.74
2023-06-26T16:00:00.000Z,268291828.751
2023-06-27T16:00:00.000Z,270712952.941
2023-06-28T16:00:00.000Z,273714049.044
2023-06-29T16:00:00.000Z,276512739.628
2023-07-02T16:00:00.000Z,277828013.677
2023-07-04T16:00:00.000Z,278335655.091
2023-07-05T16:00:00.000Z,279029407.002
2023-07-06T16:00:00.000Z,278403056
2023-07-09T16:00:00.000Z,278403055
2023-07-10T16:00:00.000Z,277238208
2023-07-11T16:00:00.000Z,277839593
2023-07-12T16:00:00.000Z,277015364
2023-07-13T16:00:00.000Z,278856801.944
2023-07-16T16:00:00.000Z,276656528.394
2023-07-17T16:00:00.000Z,276936966.442
2023-07-18T16:00:00.000Z,278075567.852
2023-07-19T16:00:00.000Z,276118097.812
2023-07-20T16:00:00.000Z,276718837.19
2023-07-23T16:00:00.000Z,276632202.579
2023-07-24T16:00:00.000Z,277172168.422
2023-07-25T16:00:00.000Z,278578512.015
2023-07-26T16:00:00.000Z,278572283.795
2023-07-27T16:00:00.000Z,278535124.218
2023-07-30T16:00:00.000Z,281695583.765
2023-07-31T16:00:00.000Z,281695583.905
2023-08-01T16:00:00.000Z,281652382.263
2023-08-02T16:00:00.000Z,281645132.213
2023-08-03T16:00:00.000Z,281947434.983
2023-08-06T16:00:00.000Z,281324641.298
2023-08-07T16:00:00.000Z,281399303.746
2023-08-08T16:00:00.000Z,281306895.753
2023-08-09T16:00:00.000Z,281172965.644
2023-08-10T16:00:00.000Z,280597951.591
2023-08-13T16:00:00.000Z,279586561.903
2023-08-14T16:00:00.000Z,279192298.816
2023-08-15T16:00:00.000Z,279167598.148
2023-08-16T16:00:00.000Z,279707153.093
2023-08-17T16:00:00.000Z,279697142.563
2023-08-20T16:00:00.000Z,278573477.612
2023-08-21T16:00:00.000Z,277508966.227
2023-08-22T16:00:00.000Z,277505946.047
2023-08-23T16:00:00.000Z,276522305.093
2023-08-24T16:00:00.000Z,276160748.758
2023-08-27T16:00:00.000Z,277252521.258
2023-08-28T16:00:00.000Z,278214466.485
2023-08-29T16:00:00.000Z,277604717.815
2023-08-30T16:00:00.000Z,277734013.779
2023-08-31T16:00:00.000Z,278305801.058
2023-09-05T16:00:00.000Z,277795430.919
